代號,名稱,市場,成交量,2026-03-02 收盤,2026-03-11 收盤,漲幅 %
6715,嘉基,上市,325306,188.0,282.0,50.0
3054,立萬利,上市,597791,41.7,59.8,43.41
2426,鼎元,上市,13035503,19.8,28.1,41.92
4960,誠美材,上市,34165000,14.4,19.25,33.68
6141,柏承,上市,1809481,13.6,18.1,33.09
6861,睿生光電,上市,661953,125.0,163.5,30.8
2616,山隆,上市,689911,14.95,19.4,29.77
2380,虹光,上市,564319,4.73,6.0,26.85
6830,汎銓,上市,797584,313.5,393.0,25.36
3036,文曄,上市,18938616,185.0,231.5,25.14
1310,台苯,上市,13795850,9.08,11.3,24.45
6515,穎崴,上市,750676,4775.0,5900.0,23.56
9136,巨騰-DR,上市,13493733,7.3,8.88,21.64
3645,達邁,上市,36985976,68.3,82.9,21.38
9918,欣天然,上市,381526,41.05,49.7,21.07
8271,宇瞻,上市,18572542,119.5,144.0,20.5
6456,GIS-KY,上市,8756879,52.5,63.2,20.38
2601,益航,上市,4333154,5.44,6.53,20.04
9931,欣高,上市,751883,35.0,41.6,18.86
7730,暉盛-創,上市,139424,110.0,130.5,18.64
3049,精金,上市,19153067,11.4,13.5,18.42
8112,至上,上市,67145411,72.6,85.4,17.63
2432,倚天酷碁-創,上市,297527,23.85,27.8,16.56
1582,信錦,上市,6729516,75.2,87.5,16.36
2243,宏旭-KY,上市,610458,12.05,13.95,15.77
2458,義隆,上市,8003686,122.0,141.0,15.57
4949,有成精密,上市,7773453,49.4,56.6,14.57
3653,健策,上市,3220181,3045.0,3485.0,14.45
2368,金像電,上市,9954146,787.0,898.0,14.1
1516,川飛,上市,241534,22.6,25.5,12.83
7740,熙特爾-創,上市,792054,179.5,202.0,12.53
4737,華廣,上市,227798,54.3,61.1,12.52
4764,雙鍵,上市,4049844,132.5,149.0,12.45
2485,兆赫,上市,81000157,49.5,55.3,11.72
6909,創控,上市,3117714,40.05,44.7,11.61
1309,台達化,上市,9416661,12.35,13.75,11.34
4919,新唐,上市,37130597,79.9,88.7,11.01
1762,中化生,上市,596419,27.1,30.0,10.7
2357,華碩,上市,10065627,530.0,584.0,10.19
3665,貿聯-KY,上市,3686279,1505.0,1655.0,9.97
6206,飛捷,上市,3639635,93.5,102.5,9.63
2543,皇昌,上市,11430627,67.5,74.0,9.63
8039,台虹,上市,11476943,106.5,116.5,9.39
2305,全友,上市,5586026,13.45,14.6,8.55
1337,再生-KY,上市,1200618,5.32,5.76,8.27
3702,大聯大,上市,14185423,67.6,72.8,7.69
2006,東和鋼鐵,上市,5738081,77.5,83.4,7.61
1423,利華,上市,384002,38.3,41.15,7.44
1313,聯成,上市,10814087,11.45,12.3,7.42
2103,台橡,上市,8433355,18.9,20.25,7.14
1256,鮮活果汁-KY,上市,111811,160.0,171.0,6.88
6805,富世達,上市,2178421,1745.0,1865.0,6.88
1455,集盛,上市,747184,8.2,8.76,6.83
6197,佳必琪,上市,5710933,154.5,164.5,6.47
3005,神基,上市,9944454,124.0,132.0,6.45
6914,阜爾運通,上市,403863,142.0,151.0,6.34
3481,群創,上市,1134573679,28.55,30.3,6.13
3708,上緯投控,上市,4675531,122.5,130.0,6.12
1710,東聯,上市,3839353,12.75,13.5,5.88
2851,中再保,上市,7266449,27.45,29.05,5.83
2393,億光,上市,4616197,58.5,61.9,5.81
6937,天虹,上市,1654348,247.5,261.5,5.66
2723,美食-KY,上市,1233558,70.8,74.8,5.65
2617,台航,上市,2386970,31.1,32.8,5.47
6443,元晶,上市,147006346,49.6,52.3,5.44
3017,奇鋐,上市,5418586,1765.0,1860.0,5.38
3025,星通,上市,718286,58.1,61.2,5.34
1312,國喬,上市,15611812,12.85,13.5,5.06
2727,王品,上市,745525,219.5,230.5,5.01
1529,樂事綠能,上市,7945701,26.1,27.4,4.98
2399,映泰,上市,7692535,23.2,24.35,4.96
2345,智邦,上市,4197255,1415.0,1485.0,4.95
4414,如興,上市,728217,10.1,10.6,4.95
3706,神達,上市,25820360,79.0,82.9,4.94
2753,八方雲集,上市,1393158,184.0,193.0,4.89
3596,智易,上市,2745330,195.0,204.5,4.87
4770,上品,上市,3469800,246.5,258.5,4.87
2451,創見,上市,9983628,218.5,229.0,4.81
1598,岱宇,上市,366257,18.85,19.75,4.77
2471,資通,上市,942207,50.5,52.9,4.75
3167,大量,上市,6044143,309.0,323.0,4.53
1305,華夏,上市,7466975,12.2,12.75,4.51
4755,三福化,上市,1658541,147.0,153.5,4.42
3040,遠見,上市,310818,38.7,40.4,4.39
1718,中纖,上市,5904514,7.1,7.41,4.37
